date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-01-21,USA-53061,Snohomish,Washington,1,0.14,0.02,0,0,0
2020-01-22,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-23,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-24,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-24,USA-17031,Cook,Illinois,1,0.14,0,0,0,0
2020-01-25,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-25,USA-17031,Cook,Illinois,0,0.14,0,0,0,0
2020-01-25,USA-06059,Orange,California,1,0.14,0,0,0,0
2020-01-26,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-26,USA-17031,Cook,Illinois,0,0.14,0,0,0,0
2020-01-26,USA-06059,Orange,California,0,0.14,0,0,0,0
2020-01-26,USA-06037,Los Angeles,California,1,0.14,0,0,0,0
2020-01-26,USA-04013,Maricopa,Arizona,1,0.14,0,0,0,0
2020-01-27,USA-53061,Snohomish,Washington,0,0.14,0.02,0,0,0
2020-01-27,USA-17031,Cook,Illinois,0,0.14,0,0,0,0
2020-01-27,USA-06059,Orange,California,0,0.14,0,0,0,0
2020-01-27,USA-06037,Los Angeles,California,0,0.14,0,0,0,0
2020-01-27,USA-04013,Maricopa,Arizona,0,0.14,0,0,0,0
2020-01-28,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-01-28,USA-17031,Cook,Illinois,0,0.14,0,0,0,0
2020-01-28,USA-06059,Orange,California,0,0.14,0,0,0,0
2020-01-28,USA-06037,Los Angeles,California,0,0.14,0,0,0,0
2020-01-28,USA-04013,Maricopa,Arizona,0,0.14,0,0,0,0
2020-01-29,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-01-29,USA-17031,Cook,Illinois,0,0.14,0,0,0,0
2020-01-29,USA-06059,Orange,California,0,0.14,0,0,0,0
2020-01-29,USA-06037,Los Angeles,California,0,0.14,0,0,0,0
2020-01-29,USA-04013,Maricopa,Arizona,0,0.14,0,0,0,0
2020-01-30,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-01-30,USA-17031,Cook,Illinois,1,0.29,0.01,0,0,0
2020-01-30,USA-06059,Orange,California,0,0.14,0,0,0,0
2020-01-30,USA-06037,Los Angeles,California,0,0.14,0,0,0,0
2020-01-30,USA-04013,Maricopa,Arizona,0,0.14,0,0,0,0
2020-01-31,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-01-31,USA-17031,Cook,Illinois,0,0.14,0,0,0,0
2020-01-31,USA-06085,Santa Clara,California,1,0.14,0.01,0,0,0
2020-01-31,USA-06059,Orange,California,0,0.14,0,0,0,0
2020-01-31,USA-06037,Los Angeles,California,0,0.14,0,0,0,0
2020-01-31,USA-04013,Maricopa,Arizona,0,0.14,0,0,0,0
2020-02-01,USA-53061,Snohomish,Washington,0,0,0,0,0,0
2020-02-01,USA-25025,Suffolk,Massachusetts,1,0.14,0.02,0,0,0
2020-02-01,USA-17031,Cook,Illinois,0,0.14,0,0,0,0
2020-02-01,USA-06085,Santa Clara,California,0,0.14,0.01,0,0,0
2020-02-01,USA-06059,Orange,California,0,0,0,0,0,0
2020-02-01,USA-06037,Los Angeles,California,0,0.14,0,0,0,0
2020-02-01,USA-04013,Maricopa,Arizona,0,0.14,0,0,0,0
2020-02-02,USA-53061,Snohomish,Washington,0,0,0,0,0,0
